"Date","Value"
"08/05/1970",2.7225
"08/06/1970",2.7625
"08/07/1970",2.7825
"08/10/1970",2.7775
"08/11/1970",2.765
"08/12/1970",2.8225
"08/13/1970",2.815
"08/14/1970",2.8
"08/17/1970",2.8925
"08/18/1970",2.81
"08/19/1970",2.8525
"08/20/1970",2.835
"08/21/1970",2.7725
"08/24/1970",2.76
"08/25/1970",2.7675
"08/26/1970",2.7625
"08/27/1970",2.74
"08/28/1970",2.75
"08/31/1970",2.7725
"09/01/1970",2.68
"09/02/1970",2.71
"09/03/1970",2.7225
"09/04/1970",2.725
"09/08/1970",2.75
"09/09/1970",2.755
"09/10/1970",2.77
"09/11/1970",2.77
"09/14/1970",2.815
"09/15/1970",2.82
"09/16/1970",2.825
"09/17/1970",2.79
"09/18/1970",2.83
"09/21/1970",2.77
"09/22/1970",2.805
"09/23/1970",2.835
"09/24/1970",2.845
"09/25/1970",2.85
"09/28/1970",2.8425
"09/29/1970",2.815
"09/30/1970",2.77
"10/01/1970",2.825
"10/02/1970",2.81
"10/05/1970",2.85
"10/06/1970",2.8525
"10/07/1970",2.8662
"10/08/1970",2.91
"10/09/1970",2.92
"10/12/1970",2.95
"10/13/1970",2.9675
"10/14/1970",2.9525
"10/15/1970",2.9425
"10/16/1970",2.8875
"10/19/1970",2.92
"10/20/1970",2.9575
"10/21/1970",2.9675
"10/22/1970",3.0125
"10/23/1970",3.035
"10/26/1970",3.03
"10/27/1970",3.0575
"10/28/1970",3.0025
"10/29/1970",2.9975
"10/30/1970",3.01
"11/02/1970",2.99
"11/03/1970",2.99
"11/04/1970",2.97
"11/05/1970",2.985
"11/06/1970",2.975
"11/09/1970",2.995
"11/10/1970",3.0125
"11/11/1970",3.025
"11/12/1970",3.0225
"11/13/1970",3.05
"11/16/1970",3.06
"11/17/1970",3.01
"11/18/1970",3.035
"11/19/1970",3.04
"11/20/1970",3.02
"11/23/1970",3.0275
"11/24/1970",2.97
"11/25/1970",2.96
"11/27/1970",2.955
"11/30/1970",2.985
"12/01/1970",2.975
"12/02/1970",2.95
"12/03/1970",2.95
"12/04/1970",2.9725
"12/07/1970",2.9575
"12/08/1970",2.92
"12/09/1970",2.9025
"12/10/1970",2.88
"12/11/1970",2.9
"12/14/1970",2.8975
"12/15/1970",2.93
"12/16/1970",2.96
"12/17/1970",2.965
"12/18/1970",2.96
"12/21/1970",2.945
"12/22/1970",2.89
"12/23/1970",2.91
"12/24/1970",2.92
"12/28/1970",2.9275
"12/29/1970",2.9125
"12/30/1970",2.9
"12/31/1970",2.9
"01/04/1971",2.905
"01/05/1971",2.92
"01/06/1971",2.93
"01/07/1971",2.94
"01/08/1971",2.97
"01/11/1971",3.015
"01/12/1971",3.015
"01/13/1971",3.0275
"01/14/1971",3.02
"01/15/1971",3.09
"01/18/1971",3.085
"01/19/1971",3.08
"01/20/1971",3.1
"01/21/1971",3.085
"01/22/1971",3.09
"01/25/1971",3.105
"01/26/1971",3.095
"01/27/1971",3.06
"01/28/1971",3.06
"01/29/1971",3.065
"02/01/1971",3.0625
"02/02/1971",3.065
"02/03/1971",3.0725
"02/04/1971",3.06
"02/05/1971",3.06
"02/08/1971",3.045
"02/09/1971",3.055
"02/10/1971",3.0525
"02/11/1971",3.08
"02/12/1971",3.075
"02/16/1971",3.05
"02/17/1971",3.05
"02/18/1971",3.0825
"02/19/1971",3.065
"02/22/1971",3.065
"02/23/1971",3.065
"02/24/1971",3.05
"02/25/1971",3.07
"02/26/1971",3.0575
"03/01/1971",3.045
"03/02/1971",3.05
"03/03/1971",3.05
"03/04/1971",3.0525
"03/05/1971",3.07
"03/08/1971",3.05
"03/09/1971",3.055
"03/10/1971",3.0625
"03/11/1971",3.07
"03/12/1971",3.0625
"03/15/1971",3.0675
"03/16/1971",3.07
"03/17/1971",3
"03/18/1971",3.025
"03/19/1971",3.01
"03/22/1971",3.0125
"03/23/1971",3.025
"03/24/1971",3.0375
"03/25/1971",3.0325
"03/26/1971",3.035
"03/29/1971",3.0325
"03/30/1971",2.985
"03/31/1971",2.995
"04/01/1971",2.955
"04/02/1971",2.96
"04/05/1971",2.92
"04/06/1971",2.925
"04/07/1971",2.9125
"04/08/1971",2.89
"04/12/1971",2.9075
"04/13/1971",2.91
"04/14/1971",2.9075
"04/15/1971",2.92
"04/16/1971",2.91
"04/19/1971",2.93
"04/20/1971",2.935
"04/21/1971",2.925
"04/22/1971",2.9275
"04/23/1971",2.89
"04/26/1971",2.88
"04/27/1971",2.875
"04/28/1971",2.895
"04/29/1971",2.91
"04/30/1971",2.9325
"05/03/1971",2.925
"05/04/1971",2.9325
"05/05/1971",2.9725
"05/06/1971",2.9987
"05/07/1971",2.97
"05/10/1971",2.985
"05/11/1971",2.9962
"05/12/1971",3.0125
"05/13/1971",2.99
"05/14/1971",2.9975
"05/17/1971",3.0025
"05/18/1971",2.99
"05/19/1971",3.0125
"05/20/1971",3.06
"05/21/1971",3.09
"05/24/1971",3.085
"05/25/1971",3.115
"05/26/1971",3.1125
"05/27/1971",3.1325
"05/28/1971",3.1275
"06/01/1971",3.1425
"06/02/1971",3.11
"06/03/1971",3.125
"06/04/1971",3.14
"06/07/1971",3.145
"06/08/1971",3.195
"06/09/1971",3.185
"06/10/1971",3.185
"06/11/1971",3.18
"06/14/1971",3.1925
"06/15/1971",3.21
"06/16/1971",3.2625
"06/17/1971",3.2675
"06/18/1971",3.28
"06/21/1971",3.25
"06/22/1971",3.2875
"06/23/1971",3.255
"06/24/1971",3.24
"06/25/1971",3.24
"06/28/1971",3.26
"06/29/1971",3.26
"06/30/1971",3.2275
"07/01/1971",3.2625
"07/02/1971",3.305
"07/06/1971",3.2925
"07/07/1971",3.3275
"07/08/1971",3.32
"07/09/1971",3.3025
"07/12/1971",3.4025
"07/13/1971",3.3975
"07/14/1971",3.42
