"Date","Value"
"03/22/1962",0.102
"03/23/1962",0.1024
"03/26/1962",0.1028
"03/27/1962",0.1025
"03/28/1962",0.1023
"03/29/1962",0.1012
"03/30/1962",0.101
"04/02/1962",0.1012
"04/03/1962",0.1011
"04/04/1962",0.1013
"04/05/1962",0.102
"04/06/1962",0.1018
"04/09/1962",0.1019
"04/10/1962",0.1018
"04/11/1962",0.1014
"04/12/1962",0.1013
"04/13/1962",0.1003
"04/16/1962",0.1
"04/17/1962",0.0996
"04/18/1962",0.0987
"04/19/1962",0.0985
"04/23/1962",0.0971
"04/24/1962",0.0969
"04/25/1962",0.0959
"04/26/1962",0.0974
"04/27/1962",0.0981
"04/30/1962",0.0986
"05/01/1962",0.0991
"05/02/1962",0.1001
"05/03/1962",0.0992
"05/04/1962",0.0982
"05/07/1962",0.0974
"05/08/1962",0.0966
"05/09/1962",0.0955
"05/10/1962",0.0948
"05/11/1962",0.0931
"05/14/1962",0.0935
"05/15/1962",0.094
"05/16/1962",0.0945
"05/17/1962",0.0934
"05/18/1962",0.0916
"05/21/1962",0.0914
"05/22/1962",0.0881
"05/23/1962",0.0869
"05/24/1962",0.0868
"05/25/1962",0.0878
"05/28/1962",0.0865
"05/29/1962",0.0841
"05/31/1962",0.0844
"06/01/1962",0.0848
"06/04/1962",0.0859
"06/05/1962",0.0858
"06/06/1962",0.0846
"06/07/1962",0.0859
"06/08/1962",0.0854
"06/11/1962",0.0846
"06/12/1962",0.0849
"06/13/1962",0.0856
"06/14/1962",0.0851
"06/15/1962",0.0844
"06/18/1962",0.0847
"06/19/1962",0.0836
"06/20/1962",0.0825
"06/21/1962",0.0833
"06/22/1962",0.0833
"06/25/1962",0.0826
"06/26/1962",0.0818
"06/27/1962",0.0815
"06/28/1962",0.0808
"06/29/1962",0.0802
"07/02/1962",0.0787
"07/03/1962",0.079
"07/05/1962",0.0776
"07/06/1962",0.0768
"07/09/1962",0.075
"07/10/1962",0.076
"07/11/1962",0.0771
"07/12/1962",0.0796
"07/13/1962",0.0811
"07/16/1962",0.0819
"07/17/1962",0.0807
"07/18/1962",0.0795
"07/19/1962",0.0796
"07/20/1962",0.0806
"07/23/1962",0.0808
"07/24/1962",0.0815
"07/25/1962",0.0812
"07/26/1962",0.0811
"07/27/1962",0.0827
"07/30/1962",0.0833
"07/31/1962",0.0828
"08/01/1962",0.0847
"08/02/1962",0.0838
"08/03/1962",0.0829
"08/06/1962",0.082
"08/07/1962",0.0827
"08/08/1962",0.0824
"08/09/1962",0.0822
"08/10/1962",0.0819
"08/13/1962",0.0814
"08/14/1962",0.0807
"08/15/1962",0.0813
"08/16/1962",0.0807
"08/17/1962",0.081
"08/20/1962",0.081
"08/21/1962",0.0815
"08/22/1962",0.0819
"08/23/1962",0.0823
"08/24/1962",0.0814
"08/27/1962",0.0803
"08/28/1962",0.0794
"08/29/1962",0.078
"08/30/1962",0.0782
"08/31/1962",0.0786
"09/04/1962",0.0787
"09/05/1962",0.079
"09/06/1962",0.0797
"09/07/1962",0.0804
"09/10/1962",0.0792
"09/11/1962",0.08
"09/12/1962",0.0819
"09/13/1962",0.0806
"09/14/1962",0.0806
"09/17/1962",0.0805
"09/18/1962",0.0807
"09/19/1962",0.0805
"09/20/1962",0.0805
"09/21/1962",0.0807
"09/24/1962",0.0803
"09/25/1962",0.0806
"09/26/1962",0.0809
"09/27/1962",0.0815
"09/28/1962",0.0822
"10/01/1962",0.082
"10/02/1962",0.0824
"10/03/1962",0.0838
"10/04/1962",0.0847
"10/05/1962",0.0845
"10/08/1962",0.0847
"10/09/1962",0.0851
"10/10/1962",0.0862
"10/11/1962",0.0851
"10/12/1962",0.0856
"10/15/1962",0.0867
"10/16/1962",0.0874
"10/17/1962",0.088
"10/18/1962",0.0874
"10/19/1962",0.087
"10/22/1962",0.0881
"10/23/1962",0.091
"10/24/1962",0.091
"10/25/1962",0.0895
"10/26/1962",0.0916
"10/29/1962",0.088
"10/30/1962",0.0873
"10/31/1962",0.0879
"11/01/1962",0.087
"11/02/1962",0.0862
"11/05/1962",0.0862
"11/07/1962",0.0854
"11/08/1962",0.0852
"11/09/1962",0.0843
"11/12/1962",0.085
"11/13/1962",0.0844
"11/14/1962",0.0851
"11/15/1962",0.0861
"11/16/1962",0.0862
"11/19/1962",0.0856
"11/20/1962",0.0866
"11/21/1962",0.086
"11/23/1962",0.086
"11/26/1962",0.0855
"11/27/1962",0.0849
"11/28/1962",0.0856
"11/29/1962",0.0859
"11/30/1962",0.0864
"12/03/1962",0.0866
"12/04/1962",0.0863
"12/05/1962",0.0876
"12/06/1962",0.087
"12/07/1962",0.0872
"12/10/1962",0.0868
"12/11/1962",0.0866
"12/12/1962",0.0853
"12/13/1962",0.0858
"12/14/1962",0.0859
"12/17/1962",0.0861
"12/18/1962",0.0861
"12/19/1962",0.0852
"12/20/1962",0.0836
"12/21/1962",0.0835
"12/26/1962",0.0842
"12/27/1962",0.0858
"12/28/1962",0.0861
"12/31/1962",0.0861
"01/02/1963",0.0863
"01/03/1963",0.0862
"01/04/1963",0.0862
"01/07/1963",0.0863
"01/08/1963",0.0858
"01/09/1963",0.0868
"01/10/1963",0.0875
"01/11/1963",0.0885
"01/14/1963",0.0898
"01/15/1963",0.0925
"01/16/1963",0.0927
"01/17/1963",0.0921
"01/18/1963",0.0916
"01/21/1963",0.0916
"01/22/1963",0.092
"01/23/1963",0.0928
"01/24/1963",0.0929
"01/25/1963",0.0929
"01/28/1963",0.0934
"01/29/1963",0.0924
"01/30/1963",0.0927
"01/31/1963",0.0928
"02/01/1963",0.0924
"02/04/1963",0.0927
"02/05/1963",0.0938
"02/06/1963",0.093
"02/07/1963",0.0916
"02/08/1963",0.091
"02/11/1963",0.0915
"02/12/1963",0.0907
"02/13/1963",0.0916
"02/14/1963",0.092
"02/15/1963",0.0914
"02/18/1963",0.0913
"02/19/1963",0.0914
"02/20/1963",0.0917
"02/21/1963",0.0929
"02/25/1963",0.0936
"02/26/1963",0.0929
"02/27/1963",0.0934
"02/28/1963",0.0936
"03/01/1963",0.0935
"03/04/1963",0.0931
"03/05/1963",0.0936
"03/06/1963",0.0931
"03/07/1963",0.0934
"03/08/1963",0.0929
"03/11/1963",0.0929
"03/12/1963",0.0933
"03/13/1963",0.0932
"03/14/1963",0.093
"03/15/1963",0.0929
"03/18/1963",0.0919
"03/19/1963",0.0917
"03/20/1963",0.0916
"03/21/1963",0.0919
"03/22/1963",0.093
"03/25/1963",0.0937
"03/26/1963",0.0941
"03/27/1963",0.0941
"03/28/1963",0.0953
"03/29/1963",0.0945
"04/01/1963",0.0945
"04/02/1963",0.0925
"04/03/1963",0.093
"04/04/1963",0.0913
"04/05/1963",0.092
"04/08/1963",0.0925
"04/09/1963",0.092
"04/10/1963",0.0906
"04/11/1963",0.0908
"04/15/1963",0.0902
"04/16/1963",0.0895
"04/17/1963",0.0893
"04/18/1963",0.0899
"04/19/1963",0.0891
"04/22/1963",0.0884
"04/23/1963",0.0898
"04/24/1963",0.09
"04/25/1963",0.0917
"04/26/1963",0.0926
"04/29/1963",0.0922
"04/30/1963",0.0919
"05/01/1963",0.0926
"05/02/1963",0.0918
"05/03/1963",0.0923
"05/06/1963",0.0919
"05/07/1963",0.0928
"05/08/1963",0.0924
"05/09/1963",0.0933
"05/10/1963",0.0937
"05/13/1963",0.0938
"05/14/1963",0.0931
"05/15/1963",0.0927
"05/16/1963",0.0929
"05/17/1963",0.0922
"05/20/1963",0.0923
"05/21/1963",0.0922
"05/22/1963",0.092
"05/23/1963",0.0921
"05/24/1963",0.0919
"05/27/1963",0.0906
"05/28/1963",0.0907
"05/29/1963",0.0892
"05/31/1963",0.0903
"06/03/1963",0.0906
"06/04/1963",0.0898
"06/05/1963",0.0893
"06/06/1963",0.0902
"06/07/1963",0.0904
"06/10/1963",0.0904
"06/11/1963",0.0904
"06/12/1963",0.0902
"06/13/1963",0.0911
"06/14/1963",0.092
"06/17/1963",0.0919
"06/18/1963",0.0916
"06/19/1963",0.0915
"06/20/1963",0.0912
"06/21/1963",0.0912
"06/24/1963",0.091
"06/25/1963",0.0906
"06/26/1963",0.091
"06/27/1963",0.0911
"06/28/1963",0.0909
"07/01/1963",0.0933
"07/02/1963",0.0922
"07/03/1963",0.0927
"07/05/1963",0.0921
"07/08/1963",0.0912
"07/09/1963",0.0914
"07/10/1963",0.0911
"07/11/1963",0.0907
"07/12/1963",0.0903
"07/15/1963",0.0889
"07/16/1963",0.089
"07/17/1963",0.0881
"07/18/1963",0.0888
"07/19/1963",0.0884
"07/22/1963",0.0876
"07/23/1963",0.0884
"07/24/1963",0.0882
"07/25/1963",0.0885
"07/26/1963",0.0886
"07/29/1963",0.0886
"07/30/1963",0.0881
"07/31/1963",0.0866
"08/01/1963",0.0864
"08/02/1963",0.0867
"08/05/1963",0.0868
"08/06/1963",0.0859
"08/07/1963",0.0853
"08/08/1963",0.0851
"08/09/1963",0.0838
"08/12/1963",0.0829
"08/13/1963",0.0818
"08/14/1963",0.0818
"08/15/1963",0.0823
"08/16/1963",0.0819
"08/19/1963",0.0811
"08/20/1963",0.0804
"08/21/1963",0.0808
"08/22/1963",0.0805
"08/23/1963",0.0804
"08/26/1963",0.0809
"08/27/1963",0.0813
